team,player_ids,net_rating,offensive_rating,defensive_rating,minutes_played
LAL,"23,10,2,11,9",12.0,,,13.9
LAL,"23,36,5,77,12",-1.4,,,225
LAL,"23,36,5,77,15",2.8,,,473.6
LAL,"5,28,15,12,4",-4.0,,,20.2
LAL,"23,14,2,12,20",5.0,,,10.1
LAL,"23,14,2,28,15",9.0,,,9.7
LAL,"23,36,5,12,20",-2.0,,,9.7
LAL,"2,5,28,15,12",-2.7,,,27.9
LAL,"10,2,5,15,12",-1.0,,,9.2
LAL,"77,11,15,12,9",7.0,,,8.3
LAL,"36,5,28,12,4",-4.5,,,15.4
LAL,"10,28,11,12,18",-14.0,,,7.4
LAL,"23,2,11,15,12",-4.0,,,7.3
LAL,"5,77,15,12,9",-8.0,,,7.0
LAL,"23,5,28,15,12",-0.8,,,42
LAL,"23,36,10,14,15",0.0,,,7.0
LAL,"10,14,77,28,12",6.0,,,7.0
LAL,"23,5,77,28,15",-1.8,,,6.9
LAL,"36,5,77,28,15",3.5,,,115.6
LAL,"14,17,20,4,9",2.0,,,132
LAL,"14,2,20,4,9",5.0,,,6.6
LAL,"23,5,77,15,12",-1.0,,,58.5
LAL,"23,10,11,15,9",-1.0,,,6.5
LAL,"23,36,28,11,12",1.3,,,25.2
LAL,"14,5,77,15,12",12.0,,,6.2
LAL,"14,2,12,18,4",-4.0,,,6.0
LAL,"2,11,12,20,9",-1.0,,,5.7
LAL,"23,36,5,28,12",3.0,,,16.8
LAL,"23,36,10,11,12",3.5,,,13.2
LAL,"23,36,11,20,4",2.0,,,5.4
LAL,"23,36,2,28,12",-1.0,,,5.4
LAL,"36,2,5,77,12",-1.8,,,54
LAL,"2,28,11,15,4",-3.0,,,5.3
LAL,"23,36,5,12,18",3.0,,,5.3
LAL,"14,77,11,12,4",7.0,,,10.2
LAL,"23,36,10,14,12",3.0,,,10.0
LAL,"5,77,15,12,4",4.5,,,9.6
LAL,"14,2,12,4,9",3.0,,,9.6
LAL,"23,36,2,5,17",5.8,,,4.6
LAL,"10,77,11,15,12",4.7,,,13.8
LAL,"36,5,28,12,20",9.0,,,18.4
LAL,"10,14,2,28,15",1.5,,,4.4
