player_id,name,team,position,height_inches,weight,three_pct,ts_pct,ast_pct,usage_rate,games_played,minutes_per_game,def_rating,dbpm,bpm,vorp
1,Adou Thiero,LAL,SF,80,220,0.0,0.532,7.1,13.0,21,5.1,,-0.1,-5.4,-0.1
2,Jarred Vanderbilt,LAL,PF,80,214,0.303,0.544,9.1,12.3,60,17.5,,0.8,-1.6,0.1
4,Dalton Knecht,LAL,SF,78,215,0.304,0.547,4.6,17.3,50,10.3,,-1.7,-4.4,-0.3
5,Deandre Ayton,LAL,C,84,252,0.0,0.678,4.6,16.5,67,27.3,,-0.9,-0.8,0.5
7,Gabe Vincent,LAL,PG,,,,0.512,8.3,11.5,29,19.3,,-1.0,-4.9,-0.4
9,Bronny James,LAL,SG,74,210,0.361,0.494,18.5,16.3,37,7.9,,-0.9,-4.4,-0.2
10,Luke Kennard,LAL,SG,77,206,0.481,0.695,10.5,13.5,27,22.3,,-0.6,-0.9,0.2
11,Jaxson Hayes,LAL,C,84,220,0.0,0.754,6.8,12.7,65,18.1,,0.4,1.1,0.9
12,Jake LaRavia,LAL,PF,79,235,0.323,0.573,9.3,14.4,77,24.9,,0.3,-1.2,0.4
14,Maxi Kleber,LAL,PF,82,240,0.273,0.53,7.1,9.5,38,10.6,,0.5,-3.3,-0.1
15,Austin Reaves,LAL,SG,77,197,0.357,0.641,24.0,26.7,51,34.5,,-0.8,2.6,2.1
17,Drew Timme,LAL,PF,82,235,0.421,0.666,12.7,14.3,23,8.1,,-1.1,-1.1,0.0
18,Kobe Bufkin,LAL,SG,76,195,0.136,0.393,7.1,22.5,13,7.2,,-3.6,-11.4,-0.2
20,Nick Smith Jr.,LAL,SG,74,185,0.391,0.53,12.6,21.5,25,12.7,,-2.3,-5.2,-0.3
23,LeBron James,LAL,SF,81,250,0.314,0.591,32.3,26.6,56,33.4,,0.0,2.9,2.3
28,Rui Hachimura,LAL,PF,80,230,0.436,0.613,3.9,14.9,63,28.1,,-1.5,-2.5,-0.2
30,Chris Manon,LAL,SG,76,209,0.0,0.347,4.6,6.8,6,4.2,,5.8,-0.6,0.0
35,Christian Koloko,LAL,C,,,,,0.0,0.0,2,3.0,,-1.7,-8.5,0.0
36,Marcus Smart,LAL,SG,75,220,0.336,0.547,12.7,15.3,60,28.8,,0.5,-2.4,-0.2
77,Luka Doncic,LAL,PG,80,230,0.368,0.616,40.5,38.0,64,35.8,,1.2,9.1,6.5
